date,amount
2019-12-11,0.0
2019-12-31,0.0
2020-01-31,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-13,0.0
2020-02-18,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-29,0.0
2020-03-02,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-09,0.0
2020-03-10,9002.0
2020-03-15,9002.0
2020-03-16,9002.0
2020-03-17,9002.0
2020-03-18,9002.0
2020-03-19,9002.0
2020-03-20,9002.0
2020-03-21,9002.0
2020-03-23,9002.0
2020-03-27,9002.0
2020-03-28,9002.0
2020-03-29,9002.0
2020-03-30,9002.0
2020-03-31,9002.0
2020-04-06,9002.0
2020-04-08,9002.0
2020-04-10,9002.0
2020-04-13,9202.0
2020-04-14,9202.0
2020-04-19,9202.0
2020-04-20,9202.0
2020-04-22,9202.0
2020-04-24,9202.0
2020-04-26,9202.0
2020-04-27,9202.0
2020-04-28,9202.0
2020-04-29,9202.0
2020-04-30,9202.0
2020-05-01,9202.0
2020-05-03,9202.0
2020-05-05,9202.0
2020-05-06,9202.0
2020-05-07,9202.0
2020-05-08,9202.0
2020-05-11,9202.0
2020-05-12,9202.0
2020-05-13,9403.0
2020-05-15,9403.0
2020-05-19,9403.0
2020-05-20,9403.0
2020-05-22,9403.0
2020-05-23,9403.0
2020-05-25,9403.0
2020-05-26,9403.0
2020-05-27,9403.0
2020-05-29,9403.0
2020-05-31,9403.0
2020-06-01,9403.0
2020-06-02,9403.0
2020-06-03,9403.0
2020-06-05,9403.0
2020-06-06,9403.0
2020-06-08,9403.0
2020-06-09,9403.0
2020-06-10,9607.0
2020-06-11,9607.0
2020-06-12,9607.0
2020-06-15,9607.0
2020-06-16,9607.0
2020-06-18,9607.0
2020-06-19,9607.0
2020-06-20,9607.0
2020-06-21,9607.0
2020-06-22,9607.0
2020-06-23,9607.0
2020-06-24,9607.0
2020-06-25,9607.0
2020-06-28,9607.0
2020-06-29,9607.0
2020-06-30,9607.0
2020-07-02,9607.0
2020-07-03,9607.0
2020-07-06,9607.0
2020-07-07,9607.0
2020-07-08,9607.0
2020-07-09,9607.0
2020-07-12,9607.0
2020-07-13,9607.0
2020-07-14,9832.0
2020-07-16,9832.0
2020-07-17,9832.0
2020-07-20,9832.0
2020-07-21,9832.0
2020-07-22,9832.0
2020-07-23,9832.0
2020-07-24,9832.0
2020-07-26,9832.0
2020-07-27,9832.0
2020-07-28,9832.0
2020-07-29,9832.0
2020-07-30,9832.0
2020-07-31,9832.0
2020-08-04,9832.0
2020-08-05,9832.0
2020-08-06,9832.0
2020-08-07,9832.0
2020-08-09,9832.0
2020-08-13,9832.0
2020-08-14,10058.0
2020-08-16,10058.0
2020-08-19,10058.0
2020-08-20,10058.0
2020-08-21,10058.0
2020-08-22,10058.0
2020-08-23,10058.0
2020-08-25,10058.0
2020-08-26,10058.0
2020-08-27,10058.0
2020-08-28,10058.0
2020-08-30,10058.0
2020-08-31,10058.0
2020-09-01,10058.0
2020-09-02,10058.0
2020-09-03,10058.0
2020-09-04,10058.0
2020-09-06,10058.0
2020-09-08,10058.0
2020-09-12,10058.0
2020-09-14,10285.0
2020-09-16,10285.0
2020-09-17,10285.0
2020-09-18,10285.0
2020-09-19,10285.0
2020-09-20,10285.0
2020-09-21,10285.0
2020-09-24,10285.0
2020-09-25,10285.0
2020-09-26,10285.0
2020-09-28,10285.0
2020-09-29,10285.0
2020-10-01,10285.0
2020-10-05,10285.0
2020-10-06,10285.0
2020-10-07,10285.0
2020-10-09,10513.0
2020-10-11,10513.0
2020-10-15,10513.0
2020-10-16,10513.0
2020-10-17,10513.0
2020-10-18,10513.0
2020-10-19,10513.0
2020-10-21,10513.0
2020-10-23,10513.0
2020-10-24,10513.0
2020-10-25,10513.0
2020-10-27,10513.0
2020-10-31,10513.0
2020-11-01,10513.0
2020-11-03,10513.0
2020-11-04,10513.0
2020-11-06,10513.0
2020-11-08,10513.0
2020-11-09,10513.0
2020-11-10,10513.0
2020-11-11,10513.0
2020-11-12,10513.0
2020-11-15,10513.0
2020-11-16,10742.0
2020-11-17,10742.0
2020-11-18,10742.0
2020-11-19,10742.0
2020-11-20,10742.0
2020-11-22,10742.0
2020-11-25,10742.0
2020-11-27,10742.0
2020-11-28,10742.0
2020-11-29,10742.0
2020-11-30,10742.0
2020-12-01,10742.0
2020-12-02,10742.0
2020-12-03,10742.0
2020-12-05,10742.0
2020-12-07,10742.0
2020-12-08,10742.0
2020-12-09,10742.0
2020-12-10,10742.0
2020-12-11,10972.0
2020-12-13,10972.0
2020-12-14,10972.0
2020-12-16,10972.0
2020-12-17,10972.0
2020-12-18,10972.0
2020-12-19,10972.0
2020-12-20,10972.0
2020-12-21,10972.0
2020-12-22,10972.0
2020-12-25,10972.0
