Post Date,Check,Description,Debit,Credit,Status,Balance,date,amount,vendor_group,amount_grouped
6/6/2025,,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE

Date 06/05/25 0 5156229550 1 5734

Card 1247",15.0,,Posted,847.61,2025-06-06,15.0,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE

Date 06/05/25 0 5156229550 1 5734

Card 1247",15.0
6/6/2025,,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE

Date 06/05/25 0 5156229549 1 5734

Card 1247",15.0,,Posted,862.61,2025-06-06,15.0,"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE

Date 06/05/25 0 5156229550 1 5734

Card 1247",15.0
6/6/2025,,"Withdrawal Debit Card MC Debit Gator/IONOS INC. CHESTERBROOK PA

Date 06/05/25 0 5156041339 1 4816

Card 1247",60.0,,Posted,877.61,2025-06-06,60.0,"Withdrawal Debit Card MC Debit Gator/IONOS INC. CHESTERBROOK PA

Date 06/05/25 0 5156041339 1 4816

Card 1247",60.0
6/5/2025,,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI *CHATGPT SUBSCR SAN FRANCISC CA

Date 06/04/25 0 5155335474 0 5734

Card 1247",20.0,,Posted,937.61,2025-06-05,20.0,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI *CHATGPT SUBSCR SAN FRANCISC CA

Date 06/04/25 0 5155335474 0 5734

Card 1247",20.0
6/4/2025,,"Recurring Withdrawal Debit Card - MC Debit Gator/APPLE.COM/BILL 866-712-7753 CA

Date 06/03/25 0 5154093226 1 5818

Card 1247",6.98,,Posted,957.61,2025-06-04,6.98,"Recurring Withdrawal Debit Card - MC Debit Gator/APPLE.COM/BILL 866-712-7753 CA

Date 06/03/25 0 5154093226 1 5818

Card 1247",6.98
6/4/2025,,"Withdrawal Bill Payment #000000229775/ADOBE INC ADOBE ADOBE.COM SAN JOSE CA

Card 1247",19.99,,Posted,964.59,2025-06-04,19.99,"Withdrawal Bill Payment #000000229775/ADOBE INC ADOBE ADOBE.COM SAN JOSE CA

Card 1247",19.99
6/4/2025,,"Withdrawal POS #000000580851/SUNOCO 8002212501 4234 SW 20TH AVE

GAINESVILLE FL

Card 1247",26.86,,Posted,984.58,2025-06-04,26.86,"Withdrawal POS #000000580851/SUNOCO 8002212501 4234 SW 20TH AVE

GAINESVILLE FL

Card 1247",26.86
6/3/2025,,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA

Date 06/02/25 0 5153238318 1 5734

Card 1247",6.06,,Posted,1011.44,2025-06-03,6.06,Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CADate 03/08/25 0 5067339145 0 5734Card 1247,6.29875
6/3/2025,,"Recurring Withdrawal Debit Card - MC Debit Gator/NOTION LABS, INC. SAN FRANCISC CA

Date 06/02/25 0 5153210973 1 7372

Card 1247",22.0,,Posted,1017.5,2025-06-03,22.0,"Recurring Withdrawal Debit Card - MC Debit Gator/NOTION LABS, INC. SAN FRANCISC CA

Date 06/02/25 0 5153210973 1 7372

Card 1247",22.0
6/3/2025,,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA

Date 06/02/25 0 5153210920 1 5734

Card 1247",6.06,,Posted,1039.5,2025-06-03,6.06,"Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CA

Date 05/31/25 0 5151282040 2 5734

Card 1247",6.346666666666667
6/3/2025,,"Recurring Withdrawal Debit Card - MC Debit Gator/APPLE.COM/BILL 866-712-7753 CA

Date 06/03/25 0 5154230337 1 5818

Card 1247",2.99,,Posted,1045.56,2025-06-03,2.99,"Recurring Withdrawal Debit Card - MC Debit Gator/APPLE.COM/BILL 866-712-7753 CA

Date 06/03/25 0 5154093226 1 5818

Card 1247",2.99
6/3/2025,,"Withdrawal Bill Payment #000000197457/ADOBE INC ADOBE ADOBE.COM SAN JOSE CA

Card 1247",19.99,,Posted,1048.55,2025-06-03,19.99,"Withdrawal Bill Payment #000000229775/ADOBE INC ADOBE ADOBE.COM SAN JOSE CA

Card 1247",19.99
6/3/2025,,"Recurring Withdrawal Bill Payment - #000000000059/ADOBE INC CS ADDTL STORAG ADOBE.COM SAN

JOSE CA

Card 1247",9.99,,Posted,1068.54,2025-06-03,9.99,"Recurring Withdrawal Bill Payment - #000000000059/ADOBE INC CS ADDTL STORAG ADOBE.COM SAN

JOSE CA

Card 1247",9.99
