Description,count
Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719CO: FLUENT-GainesvilNAME: steven chaplinskiEntry Class Code: WEB,30
"Withdrawal ACH FLUENT-Gainesvil/TYPE: PAYMENT ID: 1371804719
CO: FLUENT-Gainesvil
NAME: steven chaplinskiEntry Class Code: WEB",17
"Deposit ACH ETSY, INC./TYPE: PAYOUT ID: 1357612331CO: ETSY, INC.Entry Class Code: PPD",17
"Withdrawal ACH AppFolio, Inc. F/TYPE: WEB PMTS ID: 9001406550CO: AppFolio, Inc. FNAME: Steven chaplinskiEntry Class Code: WEB",16
Withdrawal ACH Watson Realty Co/TYPE: WEB PMTS ID: 9000321157CO: Watson Realty CoNAME: Steven chaplinskiEntry Class Code: WEB,16
"Deposit Home Banking Transfer/From CHAPLINSKI,LEON 3496297 Share 0090",13
Withdrawal ACH VENMO/TYPE: PAYMENT ID: 3264681992 CO: VENMONAME: AVATAR ARTSEntry Class Code: WEB,10
Withdrawal ATM Fee/EFT 3401 W University Ave Gainesville FLCard 1247,5
"Deposit Home Banking Transfer/From CHAPLINSKI,LEON 3496297 Share 0090Funds Transfer via Mobile",5
"Deposit Home Banking Transfer/From CHAPLINSKI,LEON 3496297 Share 0090
Funds Transfer via Mobile",5
Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FLCard 1247,4
"Deposit Home Banking Transfer food/From CHAPLINSKI,LEON 3496297 Share 0090",4
"Deposit Home Banking Transfer expenses/From CHAPLINSKI,LEON 3496297 Share 0090",4
Withdrawal CourtesyFeeDebit,4
"Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FL
Card 1247",3
"Withdrawal ACH AppFolio, Inc. F/TYPE: WEB PMTS ID: 9001406550
CO: AppFolio, Inc. F
NAME: Steven chaplinskiEntry Class Code: WEB",3
"Withdrawal ACH Watson Realty Co/TYPE: WEB PMTS ID: 9000321157
CO: Watson Realty Co
NAME: Steven chaplinskiEntry Class Code: WEB",3
"Deposit Home Banking Transfer/From CHAPLINSKI,LEON 3496297 Share 0000",2
Withdrawal Courtesy Pay Fee/Entry Class Code: WEB,2
"Withdrawal ACH SUNO INC./TYPE: SUNO INC. ID: 1800948598
CO: SUNO INC. NAME: STEVEN J CHAPLINSKI
Entry Class Code: WEB",2
Withdrawal POS #000000000001/INSTACART*159 WWW.INSTACART.COM/ SANFRANCISCO CACard 1231,2
Withdrawal POS #000000000000/IC* INSTACART*159 WWW.INSTACART.COM/ SANFRANCISCO CACard 1231,2
"Deposit Home Banking Transfer Maverick/From CHAPLINSKI,LEON 3496297 Share 0090",2
"Deposit Home Banking Transfer Expenses/From CHAPLINSKI,LEON 3496297 Share 0090",2
Deposit ACH ETSY INC/TYPE: PAYOUT ID: 4263863381 CO: ETSY INCEntry Class Code: CCD,2
Withdrawal POS #000000000001/IC* INSTACART*159 WWW.INSTACART.COM/ SANFRANCISCO CACard 1231,2
Withdrawal ATM Fee/EFT 3401 W University Ave Gainesville FLCard 1231,2
Withdrawal POS #000000000006/IC* INSTACART*159 WWW.INSTACART.COM/ SANFRANCISCO CACard 1231,2
Withdrawal POS #000000000004/INSTACART*159 WWW.INSTACART.COM/ SANFRANCISCO CACard 1231,2
